start, 2022-06-24 00:53:18.091123
end, 2022-06-24 00:54:55.523696
low, -1.000, V
high, 2.800, V
rate, 100.000, mV/s
-1.00000000e+00, -5.89728900e-05,
-9.62000000e-01, -3.05311300e-06,
-9.24000000e-01, -1.94169500e-06,
-8.86000000e-01, -1.18128600e-06,
-8.48000000e-01, -8.30327600e-07,
-8.10000000e-01, -4.79369400e-07,
-7.72000000e-01, -3.03884600e-07,
-7.34000000e-01, -1.14255900e-08,
-6.96000000e-01, -1.28411200e-07,
-6.58000000e-01, 1.64054000e-07,
-6.20000000e-01, 1.64053100e-07,
-5.82000000e-01, 4.70679100e-08,
-5.44000000e-01, 2.22547100e-07,
-5.06000000e-01, 2.22544300e-07,
-4.68000000e-01, 1.05560000e-07,
-4.30000000e-01, 1.64053100e-07,
-3.92000000e-01, 1.64055000e-07,
-3.54000000e-01, 2.22544300e-07,
-3.16000000e-01, 2.81040200e-07,
-2.78000000e-01, 2.22542800e-07,
-2.40000000e-01, 3.39535600e-07,
-2.02000000e-01, 1.05561000e-07,
-1.64000000e-01, 1.64053100e-07,
-1.26000000e-01, 1.05559600e-07,
-8.80000000e-02, 2.22545700e-07,
-5.00000000e-02, 1.64053100e-07,
-1.20000000e-02, 4.70679100e-08,
2.60000000e-02, 1.05560500e-07,
6.40000000e-02, 2.81042100e-07,
1.02000000e-01, 1.05560500e-07,
1.40000000e-01, 2.81038300e-07,
1.78000000e-01, 2.81040200e-07,
2.16000000e-01, 1.64052100e-07,
2.54000000e-01, 3.98023400e-07,
2.92000000e-01, 2.22544300e-07,
3.30000000e-01, 4.56516000e-07,
3.68000000e-01, 5.73505500e-07,
4.06000000e-01, 8.07471600e-07,
4.44000000e-01, 1.39239800e-06,
4.82000000e-01, 2.21125900e-06,
5.20000000e-01, 3.49815900e-06,
5.58000000e-01, 4.55096100e-06,
5.96000000e-01, 5.54541600e-06,
6.34000000e-01, 6.65683800e-06,
6.72000000e-01, 7.41719400e-06,
7.10000000e-01, 7.82670900e-06,
7.48000000e-01, 8.47007000e-06,
7.86000000e-01, 8.82095600e-06,
8.24000000e-01, 9.52302200e-06,
8.62000000e-01, 9.93239600e-06,
9.00000000e-01, 1.05759100e-05,
9.38000000e-01, 1.08682000e-05,
9.76000000e-01, 1.11607500e-05,
1.01400000e+00, 1.14530300e-05,
1.05200000e+00, 1.17454900e-05,
1.09000000e+00, 1.22135300e-05,
1.12800000e+00, 1.26814700e-05,
1.16600000e+00, 1.36172400e-05,
1.20400000e+00, 1.53721300e-05,
1.24200000e+00, 1.82384100e-05,
1.28000000e+00, 2.12798800e-05,
1.31800000e+00, 2.40875200e-05,
1.35600000e+00, 2.61349800e-05,
1.39400000e+00, 2.74805400e-05,
1.43200000e+00, 2.81820000e-05,
1.47000000e+00, 2.91178900e-05,
1.50800000e+00, 3.02879800e-05,
1.54600000e+00, 3.13993500e-05,
